run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,green_yellow,True,21,0.09375000000000003,94,0.5278195488721804,1.159375,0.1662276785714286,0.5088082901554404,13,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,25,26,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
1,green_yellow,True,14,0.18125000000000002,94,0.4899845916795069,1.175,0.17579241071428572,0.5160599571734475,12,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,18,19,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
2,green_yellow,True,5,0.14375,102,0.5130168453292496,1.15,0.15674107142857144,0.5005279831045406,13,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,9,10,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
3,green_yellow,True,7,0.15,105,0.4977168949771689,1.165625,0.16422619047619047,0.4932221063607925,17,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,11,12,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
4,green_yellow,True,1,0.15625,82,0.48875562218890556,1.178125,0.18080683684131962,0.5198744769874477,17,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,5,6,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
5,green_yellow,True,17,0.17500000000000004,81,0.524031007751938,1.228125,0.17000744047619049,0.5180467091295117,23,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,21,22,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
6,green_yellow,True,8,0.15625000000000003,93,0.462015503875969,1.259375,0.17925223214285715,0.5403397027600849,26,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,12,13,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
7,green_yellow,True,1,0.13125,93,0.49226006191950467,1.171875,0.17410342261904763,0.5240641711229946,9,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,5,6,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
8,green_yellow,True,21,0.10625,96,0.4868624420401855,1.221875,0.17064732142857142,0.5284810126582279,16,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,25,26,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
9,green_yellow,True,10,0.10624999999999998,72,0.5390505359877489,1.2125,0.16607142857142856,0.5152471083070452,17,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,14,15,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
10,green_yellow,True,17,0.15625,93,0.4899536321483771,1.20625,0.1662090773809524,0.5333333333333333,17,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,21,22,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
11,green_yellow,True,9,0.11875,86,0.5203761755485894,1.18125,0.1726264880952381,0.513771186440678,13,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,13,14,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
12,green_yellow,True,7,0.18125,76,0.46504559270516715,1.265625,0.19322544642857142,0.5421940928270043,21,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,11,12,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
13,green_yellow,True,6,0.2375,89,0.49848024316109424,1.228125,0.18199404761904764,0.5284210526315789,20,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,10,11,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
14,green_yellow,True,18,0.18125,93,0.5068493150684932,1.153125,0.16007812500000002,0.5031645569620253,7,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,22,23,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
15,green_yellow,True,7,0.15625,82,0.5196374622356495,1.190625,0.16563616071428572,0.5235109717868338,15,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,11,12,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
16,green_yellow,True,8,0.13124999999999998,84,0.5248868778280543,1.159375,0.1517224702380952,0.5110876451953538,15,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,12,13,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
17,green_yellow,True,10,0.11249999999999999,86,0.4803030303030303,1.190625,0.17143229166666668,0.52,19,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,14,15,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
18,green_yellow,True,17,0.175,68,0.4722222222222222,1.2875,0.2012688460964323,0.5625,37,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,21,22,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
19,green_yellow,True,9,0.056250000000000015,112,0.49848024316109424,1.134375,0.15625744047619047,0.48994708994708996,5,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,13,14,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
20,green_yellow,True,7,0.13124999999999998,81,0.5117370892018779,1.228125,0.16562872023809522,0.5309168443496801,20,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,11,12,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
21,green_yellow,True,5,0.1,86,0.5038284839203675,1.190625,0.17637276785714287,0.5179704016913319,15,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,9,10,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
22,green_yellow,True,9,0.2,93,0.46261682242990654,1.225,0.17869419642857143,0.5245202558635395,21,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,13,14,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
23,green_yellow,True,19,0.14375,81,0.48773006134969327,1.246875,0.17622767857142857,0.542766631467793,24,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,23,24,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
24,green_yellow,True,31,0.15,84,0.4781297134238311,1.2375,0.1693936011904762,0.5526590198123045,18,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,35,36,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
25,green_yellow,True,15,0.19375,79,0.475968992248062,1.259375,0.1920796130952381,0.5594111461619348,25,0.175,88,0.49074074074074076,1.190625,0.1879315476190476,0.5289778714436248,14,19,20,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
26,green_yellow,True,10,0.1375,95,0.48055987558320373,1.21875,0.16563244047619047,0.527806925498426,17,0.1375,105,0.48043818466353677,1.16875,0.15899925595238093,0.5005268703898841,9,14,15,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
27,green_yellow,True,7,0.0875,77,0.5007776049766719,1.19375,0.17112723214285713,0.5180084745762712,9,0.1,80,0.5007824726134585,1.178125,0.17068824404761904,0.5095744680851064,6,11,12,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
28,green_yellow,True,12,0.15624999999999997,79,0.5343283582089552,1.14375,0.15500372023809522,0.4979253112033195,7,0.1375,94,0.5242424242424243,1.109375,0.1557105654761905,0.46764091858037576,1,16,17,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
29,green_yellow,True,20,0.15,69,0.4396423248882265,1.3125,0.19770861322585462,0.5775234131113424,36,0.1375,84,0.4555052790346908,1.1875,0.19140625,0.5335429769392034,14,24,25,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
30,green_yellow,True,8,0.11875,89,0.4814264487369985,1.20625,0.1626450892857143,0.515495867768595,11,0.1,97,0.48059701492537316,1.171875,0.1637127976190476,0.49373695198329853,7,12,13,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
31,green_yellow,True,21,0.14999999999999997,87,0.48878923766816146,1.19375,0.16837797619047618,0.512846865364851,13,0.125,99,0.4840182648401826,1.146875,0.1668340773809524,0.49269311064718163,8,25,26,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
32,green_yellow,True,7,0.2,79,0.44153846153846155,1.28125,0.19646577380952382,0.5683987274655355,27,0.16249999999999998,90,0.45622119815668205,1.190625,0.18597470238095237,0.5211864406779662,13,11,12,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
33,green_yellow,True,9,0.11249999999999999,81,0.4798807749627422,1.240625,0.17026041666666666,0.5197095435684648,22,0.10000000000000002,85,0.4909365558912387,1.190625,0.16859002976190476,0.5052301255230126,15,13,14,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
34,green_yellow,True,5,0.15000000000000002,86,0.521870286576169,1.1625,0.1623251488095238,0.5073529411764706,10,0.13125,98,0.508500772797527,1.15,0.16924107142857142,0.4919786096256685,9,9,10,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
35,green_yellow,True,10,0.13125,81,0.47904191616766467,1.203125,0.16773437500000002,0.5141065830721003,17,0.11249999999999998,93,0.49697885196374625,1.14375,0.15364955357142857,0.48523206751054854,7,14,15,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
36,green_yellow,True,9,0.16875,72,0.47424242424242424,1.265625,0.18956845238095238,0.5571725571725572,26,0.125,83,0.48619631901840493,1.190625,0.17386532738095237,0.5204616998950682,9,13,14,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
37,green_yellow,True,34,0.10624999999999998,63,0.528125,1.275,0.18142857142857144,0.5627659574468085,29,0.08750000000000002,85,0.5402843601895735,1.175,0.16748883928571429,0.5,14,38,39,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
38,green_yellow,True,8,0.21875,78,0.4602446483180428,1.271875,0.19372023809523808,0.5507853403141362,30,0.1875,88,0.4846153846153846,1.190625,0.18453125,0.5210084033613446,16,12,13,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
39,green_yellow,True,32,0.20000000000000004,77,0.4133738601823708,1.375,0.21473586309523812,0.5838574423480084,38,0.1625,96,0.43613707165109034,1.209375,0.20293526785714286,0.5291005291005291,17,36,37,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
40,green_yellow,True,22,0.09999999999999998,85,0.5007610350076104,1.16875,0.1710044642857143,0.5131440588853838,13,0.0875,92,0.5090361445783133,1.11875,0.16585193452380956,0.48739495798319327,4,26,27,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
41,green_yellow,True,23,0.175,93,0.5007656967840735,1.190625,0.16181175595238093,0.5220125786163522,15,0.15625,103,0.49768875192604006,1.128125,0.16027157738095238,0.4989429175475687,6,27,28,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
42,green_yellow,True,5,0.10625000000000001,98,0.5030959752321982,1.19375,0.17100446428571428,0.5212314225053079,15,0.1,109,0.4984520123839009,1.15625,0.17150669642857141,0.4989384288747346,10,9,10,converged,llm_green_yellow_20260906_112520,deepseek-v4-flash-vf-lp,live
